STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,SOCIO_ECON_STATUS,Socio-economic status,DEATH_CAUSE,Cause of death,CALC_METHODOLOGY,Calculation methodology,GESTATION_THRESHOLD,Gestation period threshold,HEALTH_STATUS,Health status,DISEASE,Disease,CANCER_SITE,Cancer site,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2004,,66,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2005,,66.5,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2006,,68.2,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2007,,66.9,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2008,,65.9,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2009,,63.6,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2010,,62.9,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2011,,63.9,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2012,,64.6,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.1),Perceived health status,I,AUT,Austria,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y45T64,From 45 to 64 years,F,Female,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,G,Good/very good health,_Z,Not applicable,_Z,Not applicable,2013,,62.4,,1,One,,,,,,,0,Units
